bin,value
bin_312,782.000000
bin_313,710.000000
bin_314,588.000000
bin_315,646.000000
bin_316,584.000000
bin_317,510.000000
bin_318,571.000000
bin_319,594.000000
bin_320,583.000000
bin_321,628.000000
bin_322,742.000000
bin_323,815.000000
bin_324,803.000000
bin_325,708.000000
bin_326,764.000000
bin_327,748.000000
bin_328,840.000000
bin_329,873.000000
bin_330,869.000000
bin_331,911.000000
bin_332,935.000000
bin_333,938.000000
bin_334,928.000000
bin_335,794.000000
bin_336,851.000000
bin_337,855.000000
bin_338,877.000000
bin_339,1060.000000
bin_340,1075.000000
bin_341,986.000000
bin_342,1201.000000
bin_343,1039.000000
bin_344,1311.000000
bin_345,1078.000000
bin_346,1308.000000
bin_347,1096.000000
bin_348,1287.000000
bin_349,1324.000000
bin_350,1298.000000
bin_351,1289.000000
bin_352,1290.000000
bin_353,1376.000000
bin_354,1438.000000
bin_355,1333.000000
bin_356,1558.000000
bin_357,1447.000000
bin_358,1645.000000
bin_359,1414.000000
bin_360,1659.000000
bin_361,1494.000000
bin_362,1373.000000
bin_363,1444.000000
bin_364,1477.000000
bin_365,1398.000000
bin_366,1464.000000
bin_367,1385.000000
bin_368,1397.000000
bin_369,1493.000000
bin_370,1481.000000
bin_371,1478.000000
bin_372,1749.000000
bin_373,1422.000000
bin_374,1496.000000
bin_375,1509.000000
bin_376,1338.000000
bin_377,1376.000000
bin_378,1399.000000
bin_379,1172.000000
bin_380,1236.000000
bin_381,1466.000000
bin_382,1134.000000
bin_383,1336.000000
bin_384,1155.000000
bin_385,1142.000000
bin_386,1354.000000
bin_387,1063.000000
bin_388,1245.000000
bin_389,1081.000000
bin_390,1146.000000
bin_391,1034.000000
bin_392,1144.000000
bin_393,1035.000000
bin_394,992.000000
bin_395,1009.000000
bin_396,994.000000
bin_397,957.000000
bin_398,1019.000000
bin_399,1077.000000
bin_400,907.000000
bin_401,959.000000
bin_402,905.000000
bin_403,854.000000
bin_404,873.000000
bin_405,672.000000
bin_406,766.000000
bin_407,634.000000
bin_408,739.000000
bin_409,657.000000
bin_410,741.000000
bin_411,646.000000
bin_412,659.000000
bin_413,629.000000
bin_414,740.000000
bin_415,749.000000
bin_416,726.000000
bin_417,696.000000
bin_418,780.000000
bin_419,717.000000
bin_420,853.000000
bin_421,710.000000
bin_422,702.000000
bin_423,666.000000
bin_424,615.000000
bin_425,608.000000
bin_426,666.000000
bin_427,578.000000
bin_428,750.000000
bin_429,596.000000
bin_430,736.000000
bin_431,608.000000
bin_432,619.000000
bin_433,558.000000
bin_434,675.000000
bin_435,507.000000
bin_436,593.000000
bin_437,592.000000
bin_438,623.000000
bin_439,575.000000
bin_440,599.000000
bin_441,557.000000
bin_442,511.000000
bin_443,468.000000
bin_444,455.000000
bin_445,446.000000
bin_446,483.000000
bin_447,422.000000
bin_448,478.000000
bin_449,384.000000
bin_450,633.000000
bin_451,489.000000
bin_452,559.000000
bin_453,520.000000
bin_454,524.000000
bin_455,580.000000
bin_456,497.000000
bin_457,629.000000
bin_458,443.000000
bin_459,610.000000
bin_460,530.000000
bin_461,571.000000
bin_462,669.000000
bin_463,469.000000
bin_464,636.000000
bin_465,406.000000
bin_466,450.000000
bin_467,389.000000
bin_468,315.000000
bin_469,379.000000
bin_470,356.000000
bin_471,349.000000
bin_472,365.000000
bin_473,313.000000
bin_474,285.000000
bin_475,303.000000
bin_476,392.000000
bin_477,342.000000
bin_478,301.000000
bin_479,415.000000
bin_480,264.000000
bin_481,302.000000
bin_482,286.000000
bin_483,274.000000
bin_484,245.000000
bin_485,267.000000
bin_486,281.000000
bin_487,225.000000
bin_488,297.000000
bin_489,286.000000
bin_490,517.000000
bin_491,294.000000
bin_492,193.000000
bin_493,389.000000
bin_494,190.000000
bin_495,258.000000
bin_496,189.000000
bin_497,79.000000
bin_498,195.000000
bin_499,227.000000
bin_500,211.000000
bin_501,313.000000
bin_502,98.000000
bin_503,286.000000
bin_504,224.000000
bin_505,207.000000
bin_506,157.000000
bin_507,3.000000
bin_508,0.000000
bin_509,0.000000
bin_510,0.000000
bin_511,0.000000
bin_512,0.000000
bin_513,0.000000
bin_514,0.000000
bin_515,0.000000
bin_516,0.000000
bin_517,0.000000
bin_518,0.000000
bin_519,0.000000
bin_520,0.000000
bin_521,0.000000
